,models,auc,far
0,$u_{SCF}$,0.2928,0.1
1,$u_{SCF}$,0.2921,0.05
2,$u_{SCF}$,0.2838,0.01
3,$u_{SCF}$,0.2714,0.005
4,$u_{vMF}$,0.2914,0.1
5,$u_{vMF}$,0.2911,0.05
6,$u_{vMF}$,0.2878,0.01
7,$u_{vMF}$,0.2726,0.005
8,$u_{power}$,0.2914,0.1
9,$u_{power}$,0.2911,0.05
10,$u_{power}$,0.2875,0.01
11,$u_{power}$,0.2756,0.005
12,$u_{baseline}$,0.2914,0.1
13,$u_{baseline}$,0.291,0.05
14,$u_{baseline}$,0.2876,0.01
15,$u_{baseline}$,0.2045,0.005
16,$u_{vMF} + u_{SCF}$,0.2921,0.1
17,$u_{vMF} + u_{SCF}$,0.2923,0.05
18,$u_{vMF} + u_{SCF}$,0.2864,0.01
19,$u_{vMF} + u_{SCF}$,0.2741,0.005
20,$u_{power} + u_{SCF}$,0.2922,0.1
21,$u_{power} + u_{SCF}$,0.2923,0.05
22,$u_{power} + u_{SCF}$,0.2896,0.01
23,$u_{power} + u_{SCF}$,0.2791,0.005
24,$u_{baseline} + u_{SCF}$,0.292,0.1
25,$u_{baseline} + u_{SCF}$,0.2918,0.05
26,$u_{baseline} + u_{SCF}$,0.2892,0.01
27,$u_{baseline} + u_{SCF}$,0.2065,0.005
