,models,auc,far
0,$u_{SCF}$,164.86,0.1
1,$u_{SCF}$,104.06,0.05
2,$u_{SCF}$,87.6,0.01
3,$u_{SCF}$,141.58,0.005
4,$u_{vMF}$,111.94,0.1
5,$u_{vMF}$,71.28,0.05
6,$u_{vMF}$,65.82,0.01
7,$u_{vMF}$,105.88,0.005
8,$u_{power}$,109.24,0.1
9,$u_{power}$,70.66,0.05
10,$u_{power}$,66.66,0.01
11,$u_{power}$,99.82,0.005
12,$u_{baseline}$,112.8,0.1
13,$u_{baseline}$,71.84,0.05
14,$u_{baseline}$,66.66,0.01
15,$u_{baseline}$,335.04,0.005
16,$u_{vMF} + u_{SCF}$,110.1,0.1
17,$u_{vMF} + u_{SCF}$,66.84,0.05
18,$u_{vMF} + u_{SCF}$,73.3,0.01
19,$u_{vMF} + u_{SCF}$,127.26,0.005
20,$u_{power} + u_{SCF}$,108.06,0.1
21,$u_{power} + u_{SCF}$,65.66,0.05
22,$u_{power} + u_{SCF}$,58.38,0.01
23,$u_{power} + u_{SCF}$,97.86,0.005
24,$u_{baseline} + u_{SCF}$,111.66,0.1
25,$u_{baseline} + u_{SCF}$,68.16,0.05
26,$u_{baseline} + u_{SCF}$,59.8,0.01
27,$u_{baseline} + u_{SCF}$,329.64,0.005
