,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,718,662,644,620,600,578,558,537,523,509,491,475,461,439,428
1,$u_{SCF}$,479,425,408,384,376,364,350,337,329,317,306,297,289,274,268
2,$u_{SCF}$,446,390,366,339,322,304,291,276,268,253,243,237,227,212,206
3,$u_{SCF}$,692,633,595,552,527,499,476,450,434,409,393,382,367,342,328
4,$u_{vMF}$,718,619,536,478,428,394,359,330,307,288,265,247,227,209,192
5,$u_{vMF}$,479,381,318,281,257,243,226,210,195,184,174,167,161,151,137
6,$u_{vMF}$,446,353,290,247,225,205,197,191,188,178,170,159,152,148,142
7,$u_{vMF}$,692,576,498,429,370,329,290,274,270,267,266,264,262,258,249
8,$u_{power}$,719,617,534,475,421,383,352,319,298,275,250,238,214,190,177
9,$u_{power}$,479,380,316,281,257,240,221,209,194,181,173,164,157,146,135
10,$u_{power}$,446,357,291,251,225,207,200,192,188,183,176,168,160,149,140
11,$u_{power}$,692,579,499,440,383,342,313,279,256,233,218,202,195,185,175
12,$u_{baseline}$,719,620,548,484,438,400,365,333,311,286,266,247,228,207,188
13,$u_{baseline}$,479,388,324,282,261,243,227,211,195,183,176,169,161,152,141
14,$u_{baseline}$,446,353,290,251,229,210,201,195,192,182,174,163,155,149,143
15,$u_{baseline}$,1697,1583,1472,1373,1281,1197,1126,1062,998,945,892,839,797,758,732
16,$u_{vMF} + u_{SCF}$,718,620,539,479,429,391,354,328,300,276,250,231,211,195,184
17,$u_{vMF} + u_{SCF}$,479,380,318,278,245,218,201,187,174,168,158,146,135,130,125
18,$u_{vMF} + u_{SCF}$,446,351,316,287,260,248,236,224,211,205,192,185,177,169,158
19,$u_{vMF} + u_{SCF}$,692,592,548,504,468,442,420,399,377,365,340,327,313,297,279
20,$u_{power} + u_{SCF}$,719,616,537,476,423,381,344,315,283,256,236,218,209,202,188
21,$u_{power} + u_{SCF}$,479,380,317,279,250,223,196,185,171,155,145,134,128,123,118
22,$u_{power} + u_{SCF}$,446,357,282,232,212,188,175,163,147,136,132,121,118,107,103
23,$u_{power} + u_{SCF}$,692,578,499,432,369,325,292,261,246,233,216,204,195,181,170
24,$u_{baseline} + u_{SCF}$,719,625,545,493,439,390,357,330,301,281,258,244,223,197,181
25,$u_{baseline} + u_{SCF}$,479,385,321,285,259,233,213,197,179,167,158,148,136,125,123
26,$u_{baseline} + u_{SCF}$,446,353,283,242,216,194,181,170,163,155,137,128,118,105,99
27,$u_{baseline} + u_{SCF}$,1697,1583,1472,1370,1275,1186,1114,1044,985,917,864,809,764,718,684
