,models,auc,far
0,$u_{SCF}$,0.2825,0.1
1,$u_{SCF}$,0.2887,0.05
2,$u_{SCF}$,0.2902,0.01
3,$u_{SCF}$,0.2838,0.005
4,$u_{vMF}$,0.2888,0.1
5,$u_{vMF}$,0.2927,0.05
6,$u_{vMF}$,0.2925,0.01
7,$u_{vMF}$,0.2845,0.005
8,$u_{power}$,0.2891,0.1
9,$u_{power}$,0.2927,0.05
10,$u_{power}$,0.2923,0.01
11,$u_{power}$,0.2863,0.005
12,$u_{baseline}$,0.2887,0.1
13,$u_{baseline}$,0.2926,0.05
14,$u_{baseline}$,0.2924,0.01
15,$u_{baseline}$,0.2428,0.005
16,$u_{vMF} + u_{SCF}$,0.289,0.1
17,$u_{vMF} + u_{SCF}$,0.293,0.05
18,$u_{vMF} + u_{SCF}$,0.2917,0.01
19,$u_{vMF} + u_{SCF}$,0.2853,0.005
20,$u_{power} + u_{SCF}$,0.2892,0.1
21,$u_{power} + u_{SCF}$,0.2932,0.05
22,$u_{power} + u_{SCF}$,0.2934,0.01
23,$u_{power} + u_{SCF}$,0.288,0.005
24,$u_{baseline} + u_{SCF}$,0.2888,0.1
25,$u_{baseline} + u_{SCF}$,0.293,0.05
26,$u_{baseline} + u_{SCF}$,0.2932,0.01
27,$u_{baseline} + u_{SCF}$,0.2443,0.005
