,models,auc,far
0,$u_{SCF}$,131.84,0.1
1,$u_{SCF}$,67.68,0.05
2,$u_{SCF}$,13.52,0.01
3,$u_{SCF}$,10.82,0.005
4,$u_{vMF}$,69.6,0.1
5,$u_{vMF}$,27.8,0.05
6,$u_{vMF}$,11.48,0.01
7,$u_{vMF}$,8.12,0.005
8,$u_{power}$,66.94,0.1
9,$u_{power}$,27.38,0.05
10,$u_{power}$,11.2,0.01
11,$u_{power}$,7.12,0.005
12,$u_{baseline}$,70.36,0.1
13,$u_{baseline}$,27.96,0.05
14,$u_{baseline}$,11.48,0.01
15,$u_{baseline}$,3.2,0.005
16,$u_{vMF} + u_{SCF}$,70.92,0.1
17,$u_{vMF} + u_{SCF}$,30.02,0.05
18,$u_{vMF} + u_{SCF}$,11.76,0.01
19,$u_{vMF} + u_{SCF}$,10.28,0.005
20,$u_{power} + u_{SCF}$,69.66,0.1
21,$u_{power} + u_{SCF}$,28.54,0.05
22,$u_{power} + u_{SCF}$,11.56,0.01
23,$u_{power} + u_{SCF}$,9.1,0.005
24,$u_{baseline} + u_{SCF}$,72.38,0.1
25,$u_{baseline} + u_{SCF}$,28.54,0.05
26,$u_{baseline} + u_{SCF}$,11.4,0.01
27,$u_{baseline} + u_{SCF}$,3.1,0.005
