,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,524,510,504,496,481,466,453,437,424,418,403,388,374,362,352
1,$u_{SCF}$,262,253,250,248,245,241,234,226,221,218,210,203,196,191,186
2,$u_{SCF}$,52,52,52,52,52,51,49,45,43,41,40,39,37,36,35
3,$u_{SCF}$,43,43,43,43,43,42,40,36,34,32,31,30,28,27,26
4,$u_{vMF}$,524,433,358,304,260,233,208,189,174,162,148,134,127,116,110
5,$u_{vMF}$,262,180,137,106,91,80,72,64,61,59,57,56,56,55,54
6,$u_{vMF}$,52,45,44,43,39,38,37,36,36,34,34,34,34,34,34
7,$u_{vMF}$,43,39,36,34,29,28,27,26,25,22,22,20,19,19,17
8,$u_{power}$,525,432,355,300,253,222,200,179,166,149,131,124,113,103,95
9,$u_{power}$,262,180,135,106,90,77,67,63,60,57,56,56,54,53,53
10,$u_{power}$,52,45,44,42,39,37,36,35,34,34,34,34,33,31,30
11,$u_{power}$,43,39,36,34,29,28,27,24,22,19,16,13,11,9,6
12,$u_{baseline}$,525,434,367,309,271,241,217,194,178,160,147,134,124,112,105
13,$u_{baseline}$,262,186,141,109,94,80,72,65,60,57,56,56,54,53,53
14,$u_{baseline}$,52,45,44,43,39,38,37,36,36,34,34,34,34,34,34
15,$u_{baseline}$,26,24,22,19,16,13,12,10,6,3,2,2,2,2,1
16,$u_{vMF} + u_{SCF}$,524,434,361,304,260,233,208,191,174,165,152,145,139,131,125
17,$u_{vMF} + u_{SCF}$,262,181,137,106,96,87,83,79,76,74,73,69,63,59,56
18,$u_{vMF} + u_{SCF}$,52,45,45,45,45,44,43,42,38,35,34,32,30,30,28
19,$u_{vMF} + u_{SCF}$,43,41,41,41,41,40,39,36,33,30,29,27,25,25,23
20,$u_{power} + u_{SCF}$,525,431,358,302,254,222,200,184,166,155,149,140,137,134,126
21,$u_{power} + u_{SCF}$,262,181,136,106,88,80,74,71,70,67,64,60,58,57,53
22,$u_{power} + u_{SCF}$,52,45,45,44,43,43,43,41,39,36,34,31,30,27,25
23,$u_{power} + u_{SCF}$,43,39,36,34,31,31,30,30,30,30,29,26,24,22,20
24,$u_{baseline} + u_{SCF}$,525,440,365,321,276,243,219,203,181,171,157,146,138,123,111
25,$u_{baseline} + u_{SCF}$,262,189,144,115,95,81,75,69,62,58,57,57,55,54,54
26,$u_{baseline} + u_{SCF}$,52,45,45,43,40,38,36,35,35,35,34,34,34,32,32
27,$u_{baseline} + u_{SCF}$,26,24,22,17,15,13,12,9,5,5,2,2,2,1,0
