,models,auc,far
0,$u_{SCF}$,18.5,0.1
1,$u_{SCF}$,20.26,0.05
2,$u_{SCF}$,22.52,0.01
3,$u_{SCF}$,23.24,0.005
4,$u_{vMF}$,30.98,0.1
5,$u_{vMF}$,32.44,0.05
6,$u_{vMF}$,36.34,0.01
7,$u_{vMF}$,42.16,0.005
8,$u_{power}$,31.12,0.1
9,$u_{power}$,32.48,0.05
10,$u_{power}$,36.8,0.01
11,$u_{power}$,41.26,0.005
12,$u_{baseline}$,31.0,0.1
13,$u_{baseline}$,32.54,0.05
14,$u_{baseline}$,36.32,0.01
15,$u_{baseline}$,45.04,0.005
16,$u_{vMF} + u_{SCF}$,27.92,0.1
17,$u_{vMF} + u_{SCF}$,24.62,0.05
18,$u_{vMF} + u_{SCF}$,22.8,0.01
19,$u_{vMF} + u_{SCF}$,24.22,0.005
20,$u_{power} + u_{SCF}$,27.26,0.1
21,$u_{power} + u_{SCF}$,25.58,0.05
22,$u_{power} + u_{SCF}$,24.58,0.01
23,$u_{power} + u_{SCF}$,28.76,0.005
24,$u_{baseline} + u_{SCF}$,28.24,0.1
25,$u_{baseline} + u_{SCF}$,28.78,0.05
26,$u_{baseline} + u_{SCF}$,30.46,0.01
27,$u_{baseline} + u_{SCF}$,45.04,0.005
