,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,126,93,83,69,65,60,54,54,54,50,47,46,46,39,39
1,$u_{SCF}$,134,100,90,76,72,67,61,59,59,55,52,51,51,43,43
2,$u_{SCF}$,144,109,99,85,81,75,69,67,66,61,58,57,57,49,49
3,$u_{SCF}$,147,112,102,88,84,78,71,69,68,63,60,59,59,51,51
4,$u_{vMF}$,126,125,122,122,122,120,113,108,102,98,91,87,77,72,64
5,$u_{vMF}$,134,129,125,125,122,122,120,114,107,100,97,92,87,79,69
6,$u_{vMF}$,144,141,138,135,129,125,124,122,122,120,113,107,102,99,96
7,$u_{vMF}$,147,146,144,144,143,141,139,139,138,138,138,138,138,138,137
8,$u_{power}$,126,125,122,122,122,120,114,107,101,98,93,90,81,70,65
9,$u_{power}$,134,129,125,125,122,122,120,115,108,101,98,91,87,78,69
10,$u_{power}$,144,140,138,136,128,125,125,122,122,121,118,113,108,102,98
11,$u_{power}$,147,146,144,144,144,141,140,139,137,136,135,130,128,127,125
12,$u_{baseline}$,126,125,123,122,121,119,112,106,101,96,94,88,81,74,62
13,$u_{baseline}$,134,129,126,124,122,122,120,112,106,101,96,94,88,81,72
14,$u_{baseline}$,144,141,138,135,129,126,124,122,122,120,113,108,102,97,95
15,$u_{baseline}$,153,153,153,153,153,151,150,149,149,148,148,148,148,148,148
16,$u_{vMF} + u_{SCF}$,126,125,122,122,122,117,110,105,97,84,74,62,50,42,38
17,$u_{vMF} + u_{SCF}$,134,129,125,123,105,90,80,72,65,61,54,50,49,48,46
18,$u_{vMF} + u_{SCF}$,144,120,104,93,80,77,70,65,63,62,57,54,54,51,46
19,$u_{vMF} + u_{SCF}$,147,124,109,97,85,81,75,69,69,68,62,59,59,56,51
20,$u_{power} + u_{SCF}$,126,125,122,122,122,118,109,101,88,76,63,55,49,46,41
21,$u_{power} + u_{SCF}$,134,129,125,124,117,103,87,79,70,63,58,51,48,46,45
22,$u_{power} + u_{SCF}$,144,140,126,104,98,83,75,71,63,60,59,55,54,49,48
23,$u_{power} + u_{SCF}$,147,146,144,136,118,107,97,85,79,73,66,64,63,58,55
24,$u_{baseline} + u_{SCF}$,126,125,123,121,117,109,104,96,93,84,76,73,62,53,50
25,$u_{baseline} + u_{SCF}$,134,129,126,123,120,112,105,99,91,85,79,70,62,53,51
26,$u_{baseline} + u_{SCF}$,144,141,136,135,128,115,106,99,97,90,81,73,67,57,54
27,$u_{baseline} + u_{SCF}$,153,153,153,153,153,151,150,149,149,148,148,148,148,148,148
