,models,auc,far
0,$u_{SCF}$,6.5,0.1
1,$u_{SCF}$,4.74,0.05
2,$u_{SCF}$,2.48,0.01
3,$u_{SCF}$,1.76,0.005
4,$u_{vMF}$,5.24,0.1
5,$u_{vMF}$,3.32,0.05
6,$u_{vMF}$,0.76,0.01
7,$u_{vMF}$,0.38,0.005
8,$u_{power}$,5.04,0.1
9,$u_{power}$,3.06,0.05
10,$u_{power}$,0.72,0.01
11,$u_{power}$,0.34,0.005
12,$u_{baseline}$,5.46,0.1
13,$u_{baseline}$,3.64,0.05
14,$u_{baseline}$,1.62,0.01
15,$u_{baseline}$,0.0,0.005
16,$u_{vMF} + u_{SCF}$,5.22,0.1
17,$u_{vMF} + u_{SCF}$,3.72,0.05
18,$u_{vMF} + u_{SCF}$,2.5,0.01
19,$u_{vMF} + u_{SCF}$,1.48,0.005
20,$u_{power} + u_{SCF}$,5.1,0.1
21,$u_{power} + u_{SCF}$,3.54,0.05
22,$u_{power} + u_{SCF}$,1.12,0.01
23,$u_{power} + u_{SCF}$,0.38,0.005
24,$u_{baseline} + u_{SCF}$,5.3,0.1
25,$u_{baseline} + u_{SCF}$,3.7,0.05
26,$u_{baseline} + u_{SCF}$,1.66,0.01
27,$u_{baseline} + u_{SCF}$,0.0,0.005
