,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,27,25,25,25,25,24,23,21,20,19,19,19,19,17,17
1,$u_{SCF}$,19,18,18,18,18,17,16,16,15,14,14,14,14,13,13
2,$u_{SCF}$,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7
3,$u_{SCF}$,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
4,$u_{vMF}$,27,24,21,21,18,18,16,16,16,16,15,15,14,14,11
5,$u_{vMF}$,19,16,14,13,12,12,11,10,10,10,8,8,8,8,7
6,$u_{vMF}$,9,9,7,2,1,1,1,1,1,1,1,1,1,1,1
7,$u_{vMF}$,6,5,5,3,0,0,0,0,0,0,0,0,0,0,0
8,$u_{power}$,27,23,22,21,18,18,16,16,16,15,15,14,11,10,10
9,$u_{power}$,19,16,14,13,12,12,10,9,9,8,7,6,6,6,6
10,$u_{power}$,9,9,6,2,1,1,1,1,1,1,1,1,1,1,0
11,$u_{power}$,6,5,5,1,0,0,0,0,0,0,0,0,0,0,0
12,$u_{baseline}$,27,24,24,22,19,18,17,17,17,16,15,15,14,14,14
13,$u_{baseline}$,19,17,15,14,13,12,12,12,12,10,10,9,9,9,9
14,$u_{baseline}$,9,9,7,6,5,5,5,5,5,5,5,4,4,4,3
15,$u_{baseline}$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,$u_{vMF} + u_{SCF}$,27,24,21,21,18,18,16,16,15,15,14,14,14,14,14
17,$u_{vMF} + u_{SCF}$,19,16,14,13,12,12,12,12,12,12,12,10,10,10,10
18,$u_{vMF} + u_{SCF}$,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7
19,$u_{vMF} + u_{SCF}$,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4
20,$u_{power} + u_{SCF}$,27,23,22,20,18,18,16,15,15,14,14,14,14,13,12
21,$u_{power} + u_{SCF}$,19,16,14,13,12,12,11,11,11,10,10,10,10,9,9
22,$u_{power} + u_{SCF}$,9,9,7,5,5,3,2,2,2,2,2,2,2,2,2
23,$u_{power} + u_{SCF}$,6,5,5,2,1,0,0,0,0,0,0,0,0,0,0
24,$u_{baseline} + u_{SCF}$,27,24,23,21,19,18,17,16,15,15,15,15,14,13,13
25,$u_{baseline} + u_{SCF}$,19,16,15,13,12,12,12,12,12,12,11,11,10,9,9
26,$u_{baseline} + u_{SCF}$,9,9,7,6,5,5,5,5,5,5,5,5,4,4,4
27,$u_{baseline} + u_{SCF}$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
