,models,auc,far
0,$u_{SCF}$,8.02,0.1
1,$u_{SCF}$,11.38,0.05
2,$u_{SCF}$,49.08,0.01
3,$u_{SCF}$,105.76,0.005
4,$u_{vMF}$,6.12,0.1
5,$u_{vMF}$,7.72,0.05
6,$u_{vMF}$,17.24,0.01
7,$u_{vMF}$,55.22,0.005
8,$u_{power}$,6.14,0.1
9,$u_{power}$,7.74,0.05
10,$u_{power}$,17.94,0.01
11,$u_{power}$,51.1,0.005
12,$u_{baseline}$,5.98,0.1
13,$u_{baseline}$,7.7,0.05
14,$u_{baseline}$,17.24,0.01
15,$u_{baseline}$,286.8,0.005
16,$u_{vMF} + u_{SCF}$,6.04,0.1
17,$u_{vMF} + u_{SCF}$,8.48,0.05
18,$u_{vMF} + u_{SCF}$,36.24,0.01
19,$u_{vMF} + u_{SCF}$,91.28,0.005
20,$u_{power} + u_{SCF}$,6.04,0.1
21,$u_{power} + u_{SCF}$,8.0,0.05
22,$u_{power} + u_{SCF}$,21.12,0.01
23,$u_{power} + u_{SCF}$,59.62,0.005
24,$u_{baseline} + u_{SCF}$,5.74,0.1
25,$u_{baseline} + u_{SCF}$,7.14,0.05
26,$u_{baseline} + u_{SCF}$,16.28,0.01
27,$u_{baseline} + u_{SCF}$,281.5,0.005
