,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,41,34,32,30,29,28,28,25,25,22,22,22,22,21,20
1,$u_{SCF}$,64,54,50,42,41,39,39,36,34,30,30,29,28,27,26
2,$u_{SCF}$,241,220,206,193,180,169,165,156,151,143,137,133,125,120,115
3,$u_{SCF}$,496,472,444,415,394,373,359,339,326,308,296,287,274,259,246
4,$u_{vMF}$,41,37,35,31,28,23,22,17,15,12,11,11,9,7,7
5,$u_{vMF}$,64,56,42,37,32,29,23,22,17,15,12,11,10,9,7
6,$u_{vMF}$,241,158,101,67,56,41,35,32,29,23,22,17,15,14,11
7,$u_{vMF}$,496,386,313,248,198,160,124,109,107,107,106,106,105,101,95
8,$u_{power}$,41,37,35,32,28,23,22,17,15,13,11,10,9,7,7
9,$u_{power}$,64,55,42,37,33,29,24,22,17,15,12,11,10,9,7
10,$u_{power}$,241,163,103,71,57,44,38,34,31,27,23,20,18,15,12
11,$u_{power}$,496,389,314,261,210,173,146,116,97,78,67,59,56,49,44
12,$u_{baseline}$,41,37,34,31,27,22,19,16,15,14,10,10,9,7,7
13,$u_{baseline}$,64,56,42,35,32,29,23,22,17,15,14,10,10,9,7
14,$u_{baseline}$,241,158,101,67,56,41,35,32,29,23,22,17,15,14,11
15,$u_{baseline}$,1518,1406,1297,1201,1112,1033,964,903,843,794,742,689,647,608,583
16,$u_{vMF} + u_{SCF}$,41,37,35,32,29,23,20,16,14,12,10,10,8,8,7
17,$u_{vMF} + u_{SCF}$,64,54,42,36,32,29,26,24,21,21,19,17,13,13,13
18,$u_{vMF} + u_{SCF}$,241,177,158,140,126,118,114,109,102,100,93,91,85,81,77
19,$u_{vMF} + u_{SCF}$,496,422,393,361,337,316,301,289,270,262,244,236,224,212,201
20,$u_{power} + u_{SCF}$,41,37,35,32,29,23,19,15,14,11,10,9,9,9,9
21,$u_{power} + u_{SCF}$,64,54,42,36,33,28,24,24,20,15,13,13,12,11,11
22,$u_{power} + u_{SCF}$,241,163,104,79,66,59,55,49,43,38,37,33,32,29,28
23,$u_{power} + u_{SCF}$,496,388,314,260,219,187,165,146,137,130,121,114,108,101,95
24,$u_{baseline} + u_{SCF}$,41,36,34,30,27,20,17,15,12,11,10,10,9,8,7
25,$u_{baseline} + u_{SCF}$,64,51,36,34,32,28,21,17,14,12,11,10,9,9,9
26,$u_{baseline} + u_{SCF}$,241,158,95,58,43,36,34,31,26,25,17,16,13,12,9
27,$u_{baseline} + u_{SCF}$,1518,1406,1297,1200,1107,1022,952,886,831,764,714,659,614,569,536
