,models,auc,far
0,$u_{SCF}$,0.0315,0.1
1,$u_{SCF}$,0.0162,0.05
2,$u_{SCF}$,0.0032,0.01
3,$u_{SCF}$,0.0026,0.005
4,$u_{vMF}$,0.0173,0.1
5,$u_{vMF}$,0.0068,0.05
6,$u_{vMF}$,0.0027,0.01
7,$u_{vMF}$,0.0016,0.005
8,$u_{power}$,0.0165,0.1
9,$u_{power}$,0.0067,0.05
10,$u_{power}$,0.0026,0.01
11,$u_{power}$,0.0014,0.005
12,$u_{baseline}$,0.0174,0.1
13,$u_{baseline}$,0.0068,0.05
14,$u_{baseline}$,0.0027,0.01
15,$u_{baseline}$,0.0006,0.005
16,$u_{vMF} + u_{SCF}$,0.0177,0.1
17,$u_{vMF} + u_{SCF}$,0.0072,0.05
18,$u_{vMF} + u_{SCF}$,0.0027,0.01
19,$u_{vMF} + u_{SCF}$,0.0024,0.005
20,$u_{power} + u_{SCF}$,0.0173,0.1
21,$u_{power} + u_{SCF}$,0.0068,0.05
22,$u_{power} + u_{SCF}$,0.0026,0.01
23,$u_{power} + u_{SCF}$,0.0019,0.005
24,$u_{baseline} + u_{SCF}$,0.018,0.1
25,$u_{baseline} + u_{SCF}$,0.0069,0.05
26,$u_{baseline} + u_{SCF}$,0.0026,0.01
27,$u_{baseline} + u_{SCF}$,0.0006,0.005
