,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,504,32,25,83,644,0.9714402284781721,0.10229348487923685,0.9366640440597953
1,$u_{SCF}$,250,50,18,90,408,0.9677682578539372,0.05074081591231987,0.9587712206952305
2,$u_{SCF}$,52,206,9,99,366,0.9359445124439004,0.010554089709762533,0.9616432613707818
3,$u_{SCF}$,43,444,6,102,595,0.8873929008567931,0.008727420336919018,0.9359870898332436
4,$u_{vMF}$,358,35,21,122,536,0.9643071987166634,0.07393638992152003,0.9472129210163484
5,$u_{vMF}$,137,42,14,125,318,0.9633825611976532,0.028039295947605403,0.9676894940052835
6,$u_{vMF}$,44,101,7,138,290,0.9473909324208726,0.008538715311469047,0.9683060109289617
7,$u_{vMF}$,36,313,5,144,498,0.8992146596858639,0.006863679694947569,0.9430336307481125
8,$u_{power}$,355,35,22,122,534,0.9641138732959101,0.07333195620739516,0.9473995271867613
9,$u_{power}$,135,42,14,125,316,0.9633751517604209,0.027624309392265192,0.967879650335434
10,$u_{power}$,44,103,6,138,291,0.9471318493150684,0.008532092301725809,0.9681654085986215
11,$u_{power}$,36,314,5,144,499,0.8989965095986039,0.006863679694947569,0.9429127102162225
12,$u_{baseline}$,367,34,24,123,548,0.9637129109863672,0.07581078289609584,0.9460736075575673
13,$u_{baseline}$,141,42,15,126,324,0.962970457304735,0.028852056476365868,0.967079861816704
14,$u_{baseline}$,44,101,7,138,290,0.9473909324208726,0.008538715311469047,0.9683060109289617
15,$u_{baseline}$,22,1297,0,153,1472,0.6834061135371179,0.004191274528481615,0.8096223486808071
16,$u_{vMF} + u_{SCF}$,361,35,21,122,539,0.9643000401123145,0.07454057402436506,0.9469226981782375
17,$u_{vMF} + u_{SCF}$,137,42,14,125,318,0.9633751517604209,0.02803355842029875,0.9676829268292683
18,$u_{vMF} + u_{SCF}$,45,158,9,104,316,0.9436238818389848,0.008960573476702509,0.9663400085215168
19,$u_{vMF} + u_{SCF}$,41,393,5,109,548,0.894352990206293,0.008151093439363818,0.9399912395970216
20,$u_{power} + u_{SCF}$,358,35,22,122,537,0.964106677361139,0.07393638992152003,0.9471092287993698
21,$u_{power} + u_{SCF}$,136,42,14,125,317,0.9633751517604209,0.027828933906281973,0.9677812785852221
22,$u_{power} + u_{SCF}$,45,104,7,126,282,0.9492831157714531,0.008727695888285493,0.9691937950622679
23,$u_{power} + u_{SCF}$,36,314,5,144,499,0.8989965095986039,0.006863679694947569,0.9429127102162225
24,$u_{baseline} + u_{SCF}$,365,34,23,123,545,0.9638989169675091,0.07536650836258517,0.9463424239440779
25,$u_{baseline} + u_{SCF}$,144,36,15,126,321,0.9641482681790561,0.029435813573180702,0.9673813636825527
26,$u_{baseline} + u_{SCF}$,45,95,7,136,283,0.9489598970619773,0.008710801393728223,0.9690134676448044
27,$u_{baseline} + u_{SCF}$,22,1297,0,153,1472,0.6834061135371179,0.004191274528481615,0.8096223486808071
