,models,auc,far
0,$u_{SCF}$,297.84,0.1
1,$u_{SCF}$,176.9,0.05
2,$u_{SCF}$,104.4,0.01
3,$u_{SCF}$,104.34,0.005
4,$u_{vMF}$,182.4,0.1
5,$u_{vMF}$,111.54,0.05
6,$u_{vMF}$,83.72,0.01
7,$u_{vMF}$,86.86,0.005
8,$u_{power}$,178.98,0.1
9,$u_{power}$,110.58,0.05
10,$u_{power}$,84.3,0.01
11,$u_{power}$,87.5,0.005
12,$u_{baseline}$,186.4,0.1
13,$u_{baseline}$,113.24,0.05
14,$u_{baseline}$,83.84,0.01
15,$u_{baseline}$,86.9,0.005
16,$u_{vMF} + u_{SCF}$,177.0,0.1
17,$u_{vMF} + u_{SCF}$,105.5,0.05
18,$u_{vMF} + u_{SCF}$,74.68,0.01
19,$u_{vMF} + u_{SCF}$,82.98,0.005
20,$u_{power} + u_{SCF}$,173.5,0.1
21,$u_{power} + u_{SCF}$,102.88,0.05
22,$u_{power} + u_{SCF}$,68.7,0.01
23,$u_{power} + u_{SCF}$,72.16,0.005
24,$u_{baseline} + u_{SCF}$,180.02,0.1
25,$u_{baseline} + u_{SCF}$,106.0,0.05
26,$u_{baseline} + u_{SCF}$,73.18,0.01
27,$u_{baseline} + u_{SCF}$,74.78,0.005
