,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,1346,1200,1141,1106,1079,1037,1006,969,947,920,892,865,823,796,765
1,$u_{SCF}$,881,745,695,663,643,614,592,567,554,532,512,494,469,451,433
2,$u_{SCF}$,638,506,444,405,380,353,332,314,304,288,276,264,250,238,228
3,$u_{SCF}$,655,514,450,409,381,353,331,311,300,282,269,259,245,233,225
4,$u_{vMF}$,1346,1126,965,825,710,631,566,508,465,421,382,343,308,274,250
5,$u_{vMF}$,881,704,580,492,422,379,339,302,274,253,231,208,192,168,152
6,$u_{vMF}$,638,469,373,331,302,281,266,245,226,210,198,185,169,154,139
7,$u_{vMF}$,655,501,397,348,313,287,267,251,232,215,201,191,176,160,149
8,$u_{power}$,1345,1125,963,821,703,623,551,496,451,406,363,321,291,255,235
9,$u_{power}$,882,702,579,489,422,377,335,295,271,244,228,204,185,166,150
10,$u_{power}$,638,468,374,332,304,284,266,246,227,212,198,188,174,157,147
11,$u_{power}$,655,502,401,349,310,289,269,253,232,218,203,192,183,166,153
12,$u_{baseline}$,1346,1143,982,841,723,656,581,525,480,439,395,350,311,286,262
13,$u_{baseline}$,882,708,590,511,441,392,351,310,280,252,233,208,186,166,152
14,$u_{baseline}$,638,471,374,330,302,283,263,246,229,210,199,189,169,154,135
15,$u_{baseline}$,656,504,398,348,314,289,268,250,235,213,198,191,177,159,145
16,$u_{vMF} + u_{SCF}$,1346,1124,963,827,709,629,560,499,447,391,339,295,263,240,218
17,$u_{vMF} + u_{SCF}$,881,703,582,481,407,346,290,263,240,217,197,185,171,162,150
18,$u_{vMF} + u_{SCF}$,638,461,338,288,253,241,217,198,183,175,167,160,150,136,129
19,$u_{vMF} + u_{SCF}$,655,487,384,326,287,269,249,231,215,201,192,181,173,154,145
20,$u_{power} + u_{SCF}$,1345,1122,960,818,697,615,549,487,427,376,316,280,250,226,207
21,$u_{power} + u_{SCF}$,882,704,579,482,407,357,306,261,232,196,179,156,146,135,122
22,$u_{power} + u_{SCF}$,638,467,365,286,238,207,189,169,151,144,133,122,113,109,104
23,$u_{power} + u_{SCF}$,655,498,371,292,244,220,204,183,166,153,142,131,121,117,111
24,$u_{baseline} + u_{SCF}$,1346,1146,975,830,724,630,570,501,455,395,355,311,284,251,228
25,$u_{baseline} + u_{SCF}$,882,703,582,481,418,368,329,289,258,218,193,171,154,137,117
26,$u_{baseline} + u_{SCF}$,638,460,361,307,271,242,218,198,184,166,156,141,118,105,94
27,$u_{baseline} + u_{SCF}$,656,490,373,314,277,252,220,198,184,164,151,139,122,102,97
