,models,auc,far
0,$u_{SCF}$,249.02,0.1
1,$u_{SCF}$,122.4,0.05
2,$u_{SCF}$,24.04,0.01
3,$u_{SCF}$,11.32,0.005
4,$u_{vMF}$,115.6,0.1
5,$u_{vMF}$,43.5,0.05
6,$u_{vMF}$,6.74,0.01
7,$u_{vMF}$,4.52,0.005
8,$u_{power}$,112.32,0.1
9,$u_{power}$,42.38,0.05
10,$u_{power}$,6.58,0.01
11,$u_{power}$,4.42,0.005
12,$u_{baseline}$,118.62,0.1
13,$u_{baseline}$,44.76,0.05
14,$u_{baseline}$,6.92,0.01
15,$u_{baseline}$,4.6,0.005
16,$u_{vMF} + u_{SCF}$,116.82,0.1
17,$u_{vMF} + u_{SCF}$,48.42,0.05
18,$u_{vMF} + u_{SCF}$,8.42,0.01
19,$u_{vMF} + u_{SCF}$,5.44,0.005
20,$u_{power} + u_{SCF}$,114.04,0.1
21,$u_{power} + u_{SCF}$,44.52,0.05
22,$u_{power} + u_{SCF}$,6.74,0.01
23,$u_{power} + u_{SCF}$,5.06,0.005
24,$u_{baseline} + u_{SCF}$,119.46,0.1
25,$u_{baseline} + u_{SCF}$,45.5,0.05
26,$u_{baseline} + u_{SCF}$,6.88,0.01
27,$u_{baseline} + u_{SCF}$,4.54,0.005
