,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,992,947,927,916,900,874,857,829,814,796,772,749,717,694,667
1,$u_{SCF}$,495,462,453,449,441,430,424,409,403,391,378,365,351,341,328
2,$u_{SCF}$,99,91,90,89,88,85,85,79,78,76,74,70,68,67,63
3,$u_{SCF}$,48,42,42,42,42,40,40,35,35,34,34,34,33,33,32
4,$u_{vMF}$,992,797,655,535,442,382,334,295,268,234,212,187,164,149,134
5,$u_{vMF}$,495,359,264,205,156,132,108,87,75,68,54,50,46,40,36
6,$u_{vMF}$,99,35,19,18,17,17,17,16,16,14,14,14,14,14,13
7,$u_{vMF}$,48,19,17,16,14,14,13,12,12,11,10,10,10,10,10
8,$u_{power}$,991,796,652,531,436,374,319,285,253,219,193,168,148,130,121
9,$u_{power}$,496,358,263,202,154,129,103,81,71,57,50,46,40,36,33
10,$u_{power}$,99,34,19,18,17,17,16,16,14,14,14,14,13,12,12
11,$u_{power}$,48,19,17,16,14,14,12,12,10,10,10,10,10,10,9
12,$u_{baseline}$,992,813,669,546,449,401,346,307,273,245,221,193,175,159,142
13,$u_{baseline}$,496,360,272,218,171,140,115,96,82,63,57,51,43,40,34
14,$u_{baseline}$,99,35,20,19,18,18,18,17,17,15,15,15,14,13,13
15,$u_{baseline}$,49,20,18,17,15,14,13,12,12,10,10,10,10,10,10
16,$u_{vMF} + u_{SCF}$,992,801,655,540,449,384,337,295,267,235,212,190,175,160,149
17,$u_{vMF} + u_{SCF}$,495,361,269,201,156,130,117,109,105,97,88,84,75,69,65
18,$u_{vMF} + u_{SCF}$,99,37,28,28,28,27,24,22,19,19,19,19,18,17,17
19,$u_{vMF} + u_{SCF}$,48,22,20,18,17,17,16,16,14,14,14,14,14,14,14
20,$u_{power} + u_{SCF}$,991,798,653,531,437,373,327,283,254,226,196,181,165,151,136
21,$u_{power} + u_{SCF}$,496,362,267,199,150,127,106,91,82,71,66,58,53,51,47
22,$u_{power} + u_{SCF}$,99,35,21,17,17,17,17,17,16,16,13,13,13,13,13
23,$u_{power} + u_{SCF}$,48,19,16,16,16,16,16,15,15,13,13,13,13,12,12
24,$u_{baseline} + u_{SCF}$,992,820,675,555,469,396,356,311,280,245,216,189,175,154,140
25,$u_{baseline} + u_{SCF}$,496,362,280,210,172,143,123,100,82,67,59,54,48,43,36
26,$u_{baseline} + u_{SCF}$,99,39,22,18,17,16,16,16,16,15,15,14,14,14,13
27,$u_{baseline} + u_{SCF}$,49,20,16,16,15,14,14,12,12,11,11,10,9,9,9
