,models,auc,far
0,$u_{SCF}$,30.06,0.1
1,$u_{SCF}$,32.86,0.05
2,$u_{SCF}$,35.06,0.01
3,$u_{SCF}$,35.4,0.005
4,$u_{vMF}$,46.12,0.1
5,$u_{vMF}$,48.72,0.05
6,$u_{vMF}$,53.36,0.01
7,$u_{vMF}$,55.38,0.005
8,$u_{power}$,46.18,0.1
9,$u_{power}$,48.86,0.05
10,$u_{power}$,53.82,0.01
11,$u_{power}$,55.54,0.005
12,$u_{baseline}$,45.96,0.1
13,$u_{baseline}$,48.86,0.05
14,$u_{baseline}$,53.36,0.01
15,$u_{baseline}$,55.38,0.005
16,$u_{vMF} + u_{SCF}$,41.8,0.1
17,$u_{vMF} + u_{SCF}$,39.78,0.05
18,$u_{vMF} + u_{SCF}$,37.82,0.01
19,$u_{vMF} + u_{SCF}$,37.24,0.005
20,$u_{power} + u_{SCF}$,41.4,0.1
21,$u_{power} + u_{SCF}$,41.04,0.05
22,$u_{power} + u_{SCF}$,39.1,0.01
23,$u_{power} + u_{SCF}$,39.7,0.005
24,$u_{baseline} + u_{SCF}$,41.86,0.1
25,$u_{baseline} + u_{SCF}$,43.54,0.05
26,$u_{baseline} + u_{SCF}$,45.2,0.01
27,$u_{baseline} + u_{SCF}$,46.32,0.005
