,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,207,154,132,120,111,102,93,88,83,78,74,72,66,63,60
1,$u_{SCF}$,229,167,142,129,120,111,101,96,91,86,82,80,73,70,66
2,$u_{SCF}$,256,177,151,137,128,117,107,102,97,90,86,84,77,74,70
3,$u_{SCF}$,259,178,152,138,129,118,108,103,98,91,87,85,78,75,71
4,$u_{vMF}$,207,202,195,190,181,173,163,154,147,140,129,120,112,98,95
5,$u_{vMF}$,229,215,209,196,190,181,173,163,153,145,138,126,117,104,97
6,$u_{vMF}$,256,244,230,213,203,193,188,175,165,155,149,140,131,118,108
7,$u_{vMF}$,259,252,237,220,210,199,191,183,173,163,154,147,138,126,117
8,$u_{power}$,207,202,195,190,181,174,164,154,148,140,131,118,112,99,94
9,$u_{power}$,229,215,209,196,190,181,173,163,154,147,139,126,116,108,97
10,$u_{power}$,256,244,230,214,204,194,186,177,168,157,149,143,133,122,114
11,$u_{power}$,259,252,237,220,209,198,190,182,172,164,154,148,142,129,121
12,$u_{baseline}$,207,200,196,189,183,174,163,153,148,143,128,118,104,98,94
13,$u_{baseline}$,229,216,207,199,192,184,176,162,152,146,139,125,115,103,98
14,$u_{baseline}$,256,245,229,213,203,195,185,177,166,154,149,143,130,118,105
15,$u_{baseline}$,259,253,237,220,210,200,191,184,175,162,152,147,139,125,115
16,$u_{vMF} + u_{SCF}$,207,198,195,188,177,172,161,151,135,121,101,87,72,66,59
17,$u_{vMF} + u_{SCF}$,229,214,207,194,181,163,133,115,100,89,80,76,73,71,64
18,$u_{vMF} + u_{SCF}$,256,237,173,149,133,127,115,106,99,94,89,85,83,74,71
19,$u_{vMF} + u_{SCF}$,259,220,172,146,131,121,113,105,100,91,89,86,84,74,71
20,$u_{power} + u_{SCF}$,207,199,195,188,177,172,161,151,132,118,96,83,69,62,60
21,$u_{power} + u_{SCF}$,229,214,206,195,184,175,154,128,116,94,83,74,72,66,62
22,$u_{power} + u_{SCF}$,256,243,220,176,153,128,119,105,95,89,84,77,72,70,68
23,$u_{power} + u_{SCF}$,259,249,211,168,147,131,124,111,102,95,89,82,75,72,70
24,$u_{baseline} + u_{SCF}$,207,199,191,182,173,164,154,138,129,112,108,99,88,78,71
25,$u_{baseline} + u_{SCF}$,229,214,201,191,179,169,156,144,135,117,107,98,89,79,69
26,$u_{baseline} + u_{SCF}$,256,236,218,201,188,172,156,142,131,116,110,101,87,76,70
27,$u_{baseline} + u_{SCF}$,259,245,224,206,190,180,159,145,134,119,110,102,92,77,74
