,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,62,27,23,21,21,19,17,17,17,15,15,15,13,13,12
1,$u_{SCF}$,40,14,13,12,12,10,9,9,9,7,7,7,6,6,6
2,$u_{SCF}$,13,4,4,4,4,4,3,3,3,3,3,3,2,2,2
3,$u_{SCF}$,10,3,3,3,3,3,2,2,2,2,2,2,1,1,1
4,$u_{vMF}$,62,51,46,38,33,28,27,22,17,17,17,15,14,12,11
5,$u_{vMF}$,40,28,22,17,13,12,11,10,9,9,9,9,9,8,7
6,$u_{vMF}$,13,7,5,4,4,4,4,4,2,2,2,1,1,1,1
7,$u_{vMF}$,10,5,4,4,3,1,1,1,1,1,1,1,1,1,1
8,$u_{power}$,62,51,46,38,32,28,26,20,17,17,15,14,12,11,10
9,$u_{power}$,40,27,22,17,13,12,11,9,9,9,9,9,8,7,7
10,$u_{power}$,13,7,5,4,4,4,3,2,2,1,1,1,1,1,1
11,$u_{power}$,10,5,4,3,1,1,1,1,1,1,1,1,1,1,1
12,$u_{baseline}$,62,56,50,45,38,34,31,29,26,24,23,18,16,15,14
13,$u_{baseline}$,40,32,26,23,15,14,13,12,11,10,10,10,9,8,8
14,$u_{baseline}$,13,8,6,5,4,4,4,3,3,3,2,2,2,1,1
15,$u_{baseline}$,10,6,4,4,3,2,1,1,1,1,1,1,1,1,1
16,$u_{vMF} + u_{SCF}$,62,49,45,37,31,28,20,18,16,9,6,5,4,4,4
17,$u_{vMF} + u_{SCF}$,40,27,22,15,9,5,4,4,4,4,4,3,3,3,3
18,$u_{vMF} + u_{SCF}$,13,4,3,3,3,3,3,2,2,2,2,2,2,1,1
19,$u_{vMF} + u_{SCF}$,10,4,3,3,3,3,2,2,2,2,2,2,2,1,1
20,$u_{power} + u_{SCF}$,62,49,45,37,31,25,19,18,12,6,5,4,4,4,4
21,$u_{power} + u_{SCF}$,40,27,22,15,11,7,5,5,4,4,4,3,3,2,2
22,$u_{power} + u_{SCF}$,13,7,3,3,3,3,3,3,2,2,2,2,2,2,1
23,$u_{power} + u_{SCF}$,10,4,3,3,3,2,2,2,2,2,1,1,1,1,0
24,$u_{baseline} + u_{SCF}$,62,54,43,38,31,26,23,21,17,14,14,11,10,10,9
25,$u_{baseline} + u_{SCF}$,40,30,22,15,12,10,9,9,7,6,6,6,6,5,3
26,$u_{baseline} + u_{SCF}$,13,6,4,3,3,3,3,3,2,2,2,2,2,1,1
27,$u_{baseline} + u_{SCF}$,10,4,3,3,2,2,1,1,1,1,1,1,1,1,1
