,models,auc,far
0,$u_{SCF}$,12.62,0.1
1,$u_{SCF}$,18.3,0.05
2,$u_{SCF}$,44.16,0.01
3,$u_{SCF}$,56.82,0.005
4,$u_{vMF}$,12.48,0.1
5,$u_{vMF}$,15.06,0.05
6,$u_{vMF}$,22.52,0.01
7,$u_{vMF}$,26.24,0.005
8,$u_{power}$,12.5,0.1
9,$u_{power}$,15.16,0.05
10,$u_{power}$,22.9,0.01
11,$u_{power}$,26.88,0.005
12,$u_{baseline}$,12.2,0.1
13,$u_{baseline}$,14.8,0.05
14,$u_{baseline}$,22.34,0.01
15,$u_{baseline}$,26.16,0.005
16,$u_{vMF} + u_{SCF}$,11.62,0.1
17,$u_{vMF} + u_{SCF}$,14.3,0.05
18,$u_{vMF} + u_{SCF}$,27.52,0.01
19,$u_{vMF} + u_{SCF}$,39.46,0.005
20,$u_{power} + u_{SCF}$,11.56,0.1
21,$u_{power} + u_{SCF}$,14.24,0.05
22,$u_{power} + u_{SCF}$,21.84,0.01
23,$u_{power} + u_{SCF}$,26.66,0.005
24,$u_{baseline} + u_{SCF}$,11.04,0.1
25,$u_{baseline} + u_{SCF}$,13.24,0.05
26,$u_{baseline} + u_{SCF}$,20.1,0.01
27,$u_{baseline} + u_{SCF}$,23.26,0.005
