,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,85,72,59,49,47,42,39,35,33,31,31,29,27,26,26
1,$u_{SCF}$,117,102,87,73,70,63,58,53,51,48,45,42,39,34,33
2,$u_{SCF}$,270,234,199,175,160,147,137,130,126,119,113,107,103,95,93
3,$u_{SCF}$,338,291,253,226,207,192,181,171,165,155,146,138,133,124,121
4,$u_{vMF}$,85,76,69,62,54,48,42,37,33,30,24,21,18,15,10
5,$u_{vMF}$,117,102,85,74,63,54,47,42,37,31,30,23,20,16,12
6,$u_{vMF}$,270,183,119,96,78,67,57,50,43,39,33,30,23,21,17
7,$u_{vMF}$,338,225,139,108,86,73,62,55,46,40,36,33,27,23,21
8,$u_{power}$,85,76,70,62,54,47,42,37,33,30,24,21,19,15,10
9,$u_{power}$,117,102,85,74,65,55,48,42,37,31,30,23,21,15,13
10,$u_{power}$,270,183,120,96,79,69,61,51,43,40,34,30,27,22,20
11,$u_{power}$,338,226,143,110,86,76,66,58,49,43,38,33,30,26,22
12,$u_{baseline}$,85,74,67,61,53,47,41,36,33,27,23,21,16,14,12
13,$u_{baseline}$,117,100,85,71,63,54,47,40,35,33,27,22,19,15,12
14,$u_{baseline}$,270,183,119,93,77,66,56,49,43,38,33,29,23,22,16
15,$u_{baseline}$,338,225,139,107,86,73,63,53,47,40,35,33,27,23,19
16,$u_{vMF} + u_{SCF}$,85,76,68,62,52,45,42,35,29,26,20,13,12,10,6
17,$u_{vMF} + u_{SCF}$,117,101,84,71,61,48,36,35,31,27,25,22,20,19,18
18,$u_{vMF} + u_{SCF}$,270,183,134,108,89,84,75,68,63,60,57,54,47,44,40
19,$u_{vMF} + u_{SCF}$,338,241,189,159,136,128,118,108,99,94,87,79,73,65,59
20,$u_{power} + u_{SCF}$,85,76,67,62,52,45,42,35,29,26,19,12,12,9,7
21,$u_{power} + u_{SCF}$,117,101,84,73,62,48,41,37,30,27,26,21,18,16,11
22,$u_{power} + u_{SCF}$,270,182,121,90,65,59,50,44,38,37,34,30,26,24,22
23,$u_{power} + u_{SCF}$,338,226,141,105,78,71,62,55,47,43,39,35,32,32,29
24,$u_{baseline} + u_{SCF}$,85,73,66,55,51,44,37,31,29,24,17,12,11,9,8
25,$u_{baseline} + u_{SCF}$,117,97,79,65,55,46,41,36,34,28,21,13,11,10,9
26,$u_{baseline} + u_{SCF}$,270,179,117,85,63,51,43,37,35,33,29,24,15,14,10
27,$u_{baseline} + u_{SCF}$,338,221,130,89,70,56,46,40,37,33,29,26,20,15,13
