,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,749,29,15,72,865,0.9851434426229508,0.1045213508233324,0.9467659548279894
1,$u_{SCF}$,365,42,7,80,494,0.9834784836065574,0.050934970694948366,0.9688367398435529
2,$u_{SCF}$,70,107,3,84,264,0.9751536885245902,0.009768350544236673,0.9829589465530596
3,$u_{SCF}$,34,138,2,85,259,0.9711834016393442,0.004744627407200669,0.9832090761750405
4,$u_{vMF}$,187,21,15,120,343,0.9833297713186578,0.033297720797720795,0.981703739264949
5,$u_{vMF}$,50,23,9,126,208,0.9829004329004329,0.008719916288803628,0.9886784236882213
6,$u_{vMF}$,14,30,1,140,185,0.9804616087751371,0.0022500803600128574,0.9893353317576526
7,$u_{vMF}$,10,33,1,147,191,0.9787334038303372,0.0015472690700912889,0.9886653611061659
8,$u_{power}$,168,21,14,118,321,0.983632862644416,0.029861357980803412,0.9828443161776496
9,$u_{power}$,46,23,9,126,204,0.982867057037519,0.007997218358831711,0.9888719179576696
10,$u_{power}$,14,30,1,143,188,0.9800390042445796,0.002237494006712482,0.989116591409054
11,$u_{power}$,10,33,1,148,192,0.9784436811559872,0.001531159087429184,0.9885126241474214
12,$u_{baseline}$,193,21,18,118,350,0.9832121471343028,0.03432942013518321,0.9813233724653149
13,$u_{baseline}$,51,22,10,125,208,0.9829791847354726,0.008869565217391304,0.9886599062261475
14,$u_{baseline}$,15,29,2,143,189,0.9801051909444317,0.0024084778420038534,0.9890959441527721
15,$u_{baseline}$,10,33,1,147,191,0.9787133952722569,0.0015453562046051615,0.9886545886545887
16,$u_{vMF} + u_{SCF}$,190,13,5,87,295,0.9886804657179818,0.033345033345033345,0.9841712722004614
17,$u_{vMF} + u_{SCF}$,84,22,3,76,185,0.9883385290382173,0.013305876762236655,0.9893094481363768
18,$u_{vMF} + u_{SCF}$,19,54,2,85,160,0.982015306122449,0.0026633024950939166,0.989715901786862
19,$u_{vMF} + u_{SCF}$,14,79,2,86,181,0.9785264240709786,0.001945254967347506,0.9882475163950394
20,$u_{power} + u_{SCF}$,181,12,4,83,280,0.9892775912487816,0.03152760843058701,0.9849040327798146
21,$u_{power} + u_{SCF}$,58,21,3,74,156,0.9889365545269813,0.00948332243296272,0.9911744738628648
22,$u_{power} + u_{SCF}$,13,30,2,77,122,0.9864343497199751,0.0018734687995388384,0.9923625892074621
23,$u_{power} + u_{SCF}$,13,35,1,82,131,0.9849547367078924,0.0018230262235310617,0.9915923239843398
24,$u_{baseline} + u_{SCF}$,189,12,11,99,311,0.9868831308461455,0.033315705975674244,0.9833413680432803
25,$u_{baseline} + u_{SCF}$,54,13,6,98,171,0.9872354353043857,0.009297520661157025,0.9906398817669275
26,$u_{baseline} + u_{SCF}$,14,24,2,101,141,0.9853568546062493,0.0022218695445167433,0.99181802355945
27,$u_{baseline} + u_{SCF}$,10,26,1,102,139,0.9846738743020078,0.0015250876925423213,0.9916841160634161
