,models,auc,far
0,$u_{SCF}$,134.52,0.1
1,$u_{SCF}$,66.58,0.05
2,$u_{SCF}$,13.08,0.01
3,$u_{SCF}$,6.3,0.005
4,$u_{vMF}$,77.88,0.1
5,$u_{vMF}$,28.22,0.05
6,$u_{vMF}$,3.58,0.01
7,$u_{vMF}$,2.28,0.005
8,$u_{power}$,75.36,0.1
9,$u_{power}$,27.5,0.05
10,$u_{power}$,3.52,0.01
11,$u_{power}$,2.3,0.005
12,$u_{baseline}$,75.86,0.1
13,$u_{baseline}$,27.34,0.05
14,$u_{baseline}$,3.6,0.01
15,$u_{baseline}$,2.3,0.005
16,$u_{vMF} + u_{SCF}$,77.92,0.1
17,$u_{vMF} + u_{SCF}$,28.24,0.05
18,$u_{vMF} + u_{SCF}$,4.0,0.01
19,$u_{vMF} + u_{SCF}$,2.6,0.005
20,$u_{power} + u_{SCF}$,75.3,0.1
21,$u_{power} + u_{SCF}$,27.54,0.05
22,$u_{power} + u_{SCF}$,3.6,0.01
23,$u_{power} + u_{SCF}$,2.32,0.005
24,$u_{baseline} + u_{SCF}$,76.06,0.1
25,$u_{baseline} + u_{SCF}$,27.56,0.05
26,$u_{baseline} + u_{SCF}$,3.62,0.01
27,$u_{baseline} + u_{SCF}$,2.3,0.005
