,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,512,506,500,490,477,467,460,453,443,428,420,407,396,388,379
1,$u_{SCF}$,256,253,250,246,240,235,230,226,219,210,205,199,191,185,184
2,$u_{SCF}$,50,50,50,48,46,46,45,44,43,41,40,39,38,37,37
3,$u_{SCF}$,24,24,24,23,22,22,22,21,21,20,19,19,18,18,18
4,$u_{vMF}$,512,452,397,344,308,270,241,223,211,190,177,164,149,134,122
5,$u_{vMF}$,256,210,171,142,121,95,77,66,52,48,42,37,34,32,28
6,$u_{vMF}$,50,21,15,12,9,9,8,7,7,7,7,7,7,7,6
7,$u_{vMF}$,24,9,7,7,7,6,6,6,6,6,6,6,6,6,6
8,$u_{power}$,513,453,392,341,303,262,231,220,199,182,164,151,133,116,108
9,$u_{power}$,255,208,169,141,120,92,76,64,50,43,41,34,32,27,23
10,$u_{power}$,50,21,15,11,9,9,7,7,7,7,7,7,7,6,6
11,$u_{power}$,25,9,7,7,7,6,6,6,6,6,6,6,6,6,6
12,$u_{baseline}$,513,454,400,345,301,263,238,221,201,184,164,147,133,120,109
13,$u_{baseline}$,256,209,167,137,115,90,77,58,52,45,40,35,33,29,24
14,$u_{baseline}$,51,22,16,12,9,9,7,7,7,7,7,7,7,6,6
15,$u_{baseline}$,25,9,7,7,7,6,6,6,6,6,6,6,6,6,6
16,$u_{vMF} + u_{SCF}$,512,454,394,345,307,270,241,224,211,191,175,162,151,136,123
17,$u_{vMF} + u_{SCF}$,256,209,171,140,121,95,78,65,54,48,42,37,34,33,29
18,$u_{vMF} + u_{SCF}$,50,21,16,12,11,10,10,10,10,10,9,8,8,8,7
19,$u_{vMF} + u_{SCF}$,24,10,9,9,9,8,8,8,8,7,7,7,6,5,5
20,$u_{power} + u_{SCF}$,513,455,393,341,302,263,231,219,197,180,163,151,134,116,107
21,$u_{power} + u_{SCF}$,255,209,170,140,120,93,75,62,50,44,40,34,32,29,24
22,$u_{power} + u_{SCF}$,50,21,15,10,9,9,8,8,8,7,7,7,7,7,7
23,$u_{power} + u_{SCF}$,25,9,7,7,7,7,7,6,6,6,6,6,6,6,5
24,$u_{baseline} + u_{SCF}$,513,455,399,347,303,266,244,215,198,182,166,151,136,121,107
25,$u_{baseline} + u_{SCF}$,256,207,167,141,115,95,75,62,52,46,40,36,33,27,26
26,$u_{baseline} + u_{SCF}$,51,22,16,10,9,9,8,7,7,7,7,7,7,7,7
27,$u_{baseline} + u_{SCF}$,25,9,7,7,7,6,6,6,6,6,6,6,6,6,6
