,models,auc,far
0,$u_{SCF}$,0.031,0.1
1,$u_{SCF}$,0.0153,0.05
2,$u_{SCF}$,0.003,0.01
3,$u_{SCF}$,0.0015,0.005
4,$u_{vMF}$,0.0175,0.1
5,$u_{vMF}$,0.0062,0.05
6,$u_{vMF}$,0.0008,0.01
7,$u_{vMF}$,0.0005,0.005
8,$u_{power}$,0.0169,0.1
9,$u_{power}$,0.006,0.05
10,$u_{power}$,0.0008,0.01
11,$u_{power}$,0.0005,0.005
12,$u_{baseline}$,0.017,0.1
13,$u_{baseline}$,0.0059,0.05
14,$u_{baseline}$,0.0008,0.01
15,$u_{baseline}$,0.0005,0.005
16,$u_{vMF} + u_{SCF}$,0.0176,0.1
17,$u_{vMF} + u_{SCF}$,0.0062,0.05
18,$u_{vMF} + u_{SCF}$,0.0009,0.01
19,$u_{vMF} + u_{SCF}$,0.0006,0.005
20,$u_{power} + u_{SCF}$,0.0169,0.1
21,$u_{power} + u_{SCF}$,0.006,0.05
22,$u_{power} + u_{SCF}$,0.0008,0.01
23,$u_{power} + u_{SCF}$,0.0005,0.005
24,$u_{baseline} + u_{SCF}$,0.0171,0.1
25,$u_{baseline} + u_{SCF}$,0.006,0.05
26,$u_{baseline} + u_{SCF}$,0.0008,0.01
27,$u_{baseline} + u_{SCF}$,0.0005,0.005
