,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,512,0,0,0,512,1.0,0.09963027826425375,0.7043879907621248
1,$u_{SCF}$,256,0,0,0,256,1.0,0.04981513913212687,0.8265582655826558
2,$u_{SCF}$,50,0,0,0,50,1.0,0.00972951936174353,0.9606299212598425
3,$u_{SCF}$,24,0,0,0,24,1.0,0.004670169293636894,0.9807073954983923
4,$u_{vMF}$,512,0,0,0,512,1.0,0.09963027826425375,0.7043879907621248
5,$u_{vMF}$,256,0,0,0,256,1.0,0.04981513913212687,0.8265582655826558
6,$u_{vMF}$,50,0,0,0,50,1.0,0.00972951936174353,0.9606299212598425
7,$u_{vMF}$,24,0,0,0,24,1.0,0.004670169293636894,0.9807073954983923
8,$u_{power}$,513,0,0,0,513,1.0,0.09982486865148861,0.7039815349105597
9,$u_{power}$,255,0,0,0,255,1.0,0.049620548744892,0.8271186440677966
10,$u_{power}$,50,0,0,0,50,1.0,0.00972951936174353,0.9606299212598425
11,$u_{power}$,25,0,0,0,25,1.0,0.004864759680871765,0.9799196787148594
12,$u_{baseline}$,513,0,0,0,513,1.0,0.09982486865148861,0.7039815349105597
13,$u_{baseline}$,256,0,0,0,256,1.0,0.04981513913212687,0.8265582655826558
14,$u_{baseline}$,51,0,0,0,51,1.0,0.0099241097489784,0.9598741148701809
15,$u_{baseline}$,25,0,0,0,25,1.0,0.004864759680871765,0.9799196787148594
16,$u_{vMF} + u_{SCF}$,512,0,0,0,512,1.0,0.09963027826425375,0.7043879907621248
17,$u_{vMF} + u_{SCF}$,256,0,0,0,256,1.0,0.04981513913212687,0.8265582655826558
18,$u_{vMF} + u_{SCF}$,50,0,0,0,50,1.0,0.00972951936174353,0.9606299212598425
19,$u_{vMF} + u_{SCF}$,24,0,0,0,24,1.0,0.004670169293636894,0.9807073954983923
20,$u_{power} + u_{SCF}$,513,0,0,0,513,1.0,0.09982486865148861,0.7039815349105597
21,$u_{power} + u_{SCF}$,255,0,0,0,255,1.0,0.049620548744892,0.8271186440677966
22,$u_{power} + u_{SCF}$,50,0,0,0,50,1.0,0.00972951936174353,0.9606299212598425
23,$u_{power} + u_{SCF}$,25,0,0,0,25,1.0,0.004864759680871765,0.9799196787148594
24,$u_{baseline} + u_{SCF}$,513,0,0,0,513,1.0,0.09982486865148861,0.7039815349105597
25,$u_{baseline} + u_{SCF}$,256,0,0,0,256,1.0,0.04981513913212687,0.8265582655826558
26,$u_{baseline} + u_{SCF}$,51,0,0,0,51,1.0,0.0099241097489784,0.9598741148701809
27,$u_{baseline} + u_{SCF}$,25,0,0,0,25,1.0,0.004864759680871765,0.9799196787148594
