,models,auc,far
0,$u_{SCF}$,0.2946,{SCF}$tau-0.178
1,$u_{SCF}$,0.2943,{SCF}$tau-0.217
2,$u_{SCF}$,0.2931,{SCF}$tau-0.295
3,$u_{SCF}$,0.2923,{SCF}$tau-0.3316050800917002
4,$u_{SCF}$,0.2916,{SCF}$tau-0.3544668614198186
5,$u_{SCF}$,0.2871,{SCF}$tau-0.41305037376834797
6,$u_{power} + u_{SCF}$,0.2942,{SCF}$tau-0.178
7,$u_{power} + u_{SCF}$,0.2941,{SCF}$tau-0.217
8,$u_{power} + u_{SCF}$,0.2931,{SCF}$tau-0.295
9,$u_{power} + u_{SCF}$,0.2929,{SCF}$tau-0.3316050800917002
10,$u_{power} + u_{SCF}$,0.2926,{SCF}$tau-0.3544668614198186
11,$u_{power} + u_{SCF}$,0.2913,{SCF}$tau-0.41305037376834797
