,models,auc,far
0,$Average$,1159.98,$Average$tau-0.178
1,$Average$,1026.62,$Average$tau-0.217
2,$Average$,166.06,$Average$tau-0.295
3,$Average$,79.24,$Average$tau-0.3316050800917002
4,$Average$,65.04,$Average$tau-0.3544668614198186
5,$Average$,61.72,$Average$tau-0.41305037376834797
6,$u_{SCF}$,1277.74,{SCF}$tau-0.178
7,$u_{SCF}$,1044.04,{SCF}$tau-0.217
8,$u_{SCF}$,238.92,{SCF}$tau-0.295
9,$u_{SCF}$,119.36,{SCF}$tau-0.3316050800917002
10,$u_{SCF}$,91.26,{SCF}$tau-0.3544668614198186
11,$u_{SCF}$,76.34,{SCF}$tau-0.41305037376834797
