,models,auc,far
0,$u_{SCF}$,0.2033,{SCF}$tau-0.178
1,$u_{SCF}$,0.2159,{SCF}$tau-0.217
2,$u_{SCF}$,0.2753,{SCF}$tau-0.295
3,$u_{SCF}$,0.2871,{SCF}$tau-0.3316050800917002
4,$u_{SCF}$,0.29,{SCF}$tau-0.3544668614198186
5,$u_{SCF}$,0.2915,{SCF}$tau-0.41305037376834797
6,$u_{power} + u_{SCF}$,0.2156,{SCF}$tau-0.178
7,$u_{power} + u_{SCF}$,0.2248,{SCF}$tau-0.217
8,$u_{power} + u_{SCF}$,0.2839,{SCF}$tau-0.295
9,$u_{power} + u_{SCF}$,0.292,{SCF}$tau-0.3316050800917002
10,$u_{power} + u_{SCF}$,0.2938,{SCF}$tau-0.3544668614198186
11,$u_{power} + u_{SCF}$,0.2941,{SCF}$tau-0.41305037376834797
