,models,auc,far
0,$Average$,1127.86,$Average$tau-0.178
1,$Average$,994.0,$Average$tau-0.217
2,$Average$,125.58,$Average$tau-0.295
3,$Average$,36.54,$Average$tau-0.3316050800917002
4,$Average$,21.42,$Average$tau-0.3544668614198186
5,$Average$,12.42,$Average$tau-0.41305037376834797
6,$u_{SCF}$,1252.74,{SCF}$tau-0.178
7,$u_{SCF}$,1017.7,{SCF}$tau-0.217
8,$u_{SCF}$,207.06,{SCF}$tau-0.295
9,$u_{SCF}$,84.06,{SCF}$tau-0.3316050800917002
10,$u_{SCF}$,52.66,{SCF}$tau-0.3544668614198186
11,$u_{SCF}$,17.32,{SCF}$tau-0.41305037376834797
12,$u_{power} + u_{SCF}$,1131.5,{SCF}$tau-0.178
13,$u_{power} + u_{SCF}$,954.84,{SCF}$tau-0.217
14,$u_{power} + u_{SCF}$,131.0,{SCF}$tau-0.295
15,$u_{power} + u_{SCF}$,43.34,{SCF}$tau-0.3316050800917002
16,$u_{power} + u_{SCF}$,23.72,{SCF}$tau-0.3544668614198186
17,$u_{power} + u_{SCF}$,13.28,{SCF}$tau-0.41305037376834797
