,models,auc,far
0,$u_{SCF}$,0.0,{SCF}$tau-0.178
1,$u_{SCF}$,3.56,{SCF}$tau-0.217
2,$u_{SCF}$,17.86,{SCF}$tau-0.295
3,$u_{SCF}$,19.54,{SCF}$tau-0.3316050800917002
4,$u_{SCF}$,20.86,{SCF}$tau-0.3544668614198186
5,$u_{SCF}$,21.62,{SCF}$tau-0.41305037376834797
6,$u_{power} + u_{SCF}$,0.0,{SCF}$tau-0.178
7,$u_{power} + u_{SCF}$,3.88,{SCF}$tau-0.217
8,$u_{power} + u_{SCF}$,23.04,{SCF}$tau-0.295
9,$u_{power} + u_{SCF}$,23.1,{SCF}$tau-0.3316050800917002
10,$u_{power} + u_{SCF}$,22.98,{SCF}$tau-0.3544668614198186
11,$u_{power} + u_{SCF}$,23.14,{SCF}$tau-0.41305037376834797
