,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,$u_{SCF}$,33,18,17,15,13,12,10,10,10,9,7,7,7,5,5
2,$u_{SCF}$,122,90,80,67,63,58,52,52,52,48,45,44,44,38,38
3,$u_{SCF}$,130,97,87,73,69,64,58,57,57,53,50,49,49,42,42
4,$u_{SCF}$,136,102,92,78,74,69,63,61,61,57,54,53,53,45,45
5,$u_{SCF}$,141,106,96,82,78,72,66,64,63,58,55,54,54,46,46
6,$u_{power} + u_{SCF}$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,$u_{power} + u_{SCF}$,36,27,21,20,16,15,12,11,11,8,7,5,2,2,1
8,$u_{power} + u_{SCF}$,120,116,113,106,99,94,86,80,72,62,53,49,37,33,32
9,$u_{power} + u_{SCF}$,129,124,118,108,99,86,78,70,64,57,50,46,45,42,39
10,$u_{power} + u_{SCF}$,134,129,116,105,92,79,72,68,60,55,53,50,46,46,44
11,$u_{power} + u_{SCF}$,144,138,114,101,89,76,68,65,58,55,53,52,51,48,45
