,models,auc,far
0,$u_{SCF}$,25.0,{SCF}$tau-0.178
1,$u_{SCF}$,21.44,{SCF}$tau-0.217
2,$u_{SCF}$,7.14,{SCF}$tau-0.295
3,$u_{SCF}$,5.46,{SCF}$tau-0.3316050800917002
4,$u_{SCF}$,4.14,{SCF}$tau-0.3544668614198186
5,$u_{SCF}$,3.38,{SCF}$tau-0.41305037376834797
6,$u_{power} + u_{SCF}$,28.6,{SCF}$tau-0.178
7,$u_{power} + u_{SCF}$,24.3,{SCF}$tau-0.217
8,$u_{power} + u_{SCF}$,6.24,{SCF}$tau-0.295
9,$u_{power} + u_{SCF}$,4.36,{SCF}$tau-0.3316050800917002
10,$u_{power} + u_{SCF}$,3.44,{SCF}$tau-0.3544668614198186
11,$u_{power} + u_{SCF}$,2.2,{SCF}$tau-0.41305037376834797
