,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$Average$,152,147,141,131,125,116,111,108,104,94,90,81,74,68,64
1,$Average$,117,114,113,110,109,107,100,97,91,87,83,81,72,69,65
2,$Average$,32,26,25,23,22,22,20,19,19,19,19,18,18,18,17
3,$Average$,22,18,17,17,16,14,12,12,12,10,10,10,9,8,8
4,$Average$,18,14,12,11,11,10,10,9,8,7,6,6,6,6,6
5,$Average$,11,9,9,5,4,4,4,2,2,2,2,2,2,2,2
6,$u_{SCF}$,153,118,108,94,90,84,77,75,74,69,66,65,65,56,56
7,$u_{SCF}$,120,100,91,79,77,72,67,65,64,60,59,58,58,51,51
8,$u_{SCF}$,31,28,28,27,27,26,25,23,22,21,21,21,21,18,18
9,$u_{SCF}$,23,21,21,21,21,20,19,18,17,16,16,16,16,14,14
10,$u_{SCF}$,17,16,16,16,16,15,14,14,13,12,12,12,12,11,11
11,$u_{SCF}$,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10
