,models,auc,far
0,$Average$,0.0,$Average$tau-0.178
1,$Average$,0.5,$Average$tau-0.217
2,$Average$,5.28,$Average$tau-0.295
3,$Average$,7.36,$Average$tau-0.3316050800917002
4,$Average$,8.4,$Average$tau-0.3544668614198186
5,$Average$,13.6,$Average$tau-0.41305037376834797
6,$u_{SCF}$,0.0,{SCF}$tau-0.178
7,$u_{SCF}$,1.34,{SCF}$tau-0.217
8,$u_{SCF}$,6.86,{SCF}$tau-0.295
9,$u_{SCF}$,10.3,{SCF}$tau-0.3316050800917002
10,$u_{SCF}$,13.6,{SCF}$tau-0.3544668614198186
11,$u_{SCF}$,34.02,{SCF}$tau-0.41305037376834797
