,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,$u_{SCF}$,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
2,$u_{SCF}$,32,28,27,26,25,25,25,22,22,19,19,19,19,18,17
3,$u_{SCF}$,58,49,45,38,37,35,35,32,30,27,27,27,26,25,24
4,$u_{SCF}$,73,63,59,51,50,48,47,43,41,37,37,36,34,32,29
5,$u_{SCF}$,170,155,143,133,121,115,112,105,102,98,96,94,89,86,82
6,$u_{power} + u_{SCF}$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,$u_{power} + u_{SCF}$,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2
8,$u_{power} + u_{SCF}$,34,33,27,23,20,15,13,13,10,9,8,8,8,7,7
9,$u_{power} + u_{SCF}$,58,46,42,35,32,29,24,18,16,13,12,12,12,11,8
10,$u_{power} + u_{SCF}$,79,57,44,38,36,31,27,26,20,19,16,16,15,14,12
11,$u_{power} + u_{SCF}$,182,109,72,53,49,39,33,31,28,28,26,25,23,22,21
