,models,auc,far
0,$u_{SCF}$,0.2982,{SCF}$tau-0.178
1,$u_{SCF}$,0.2426,{SCF}$tau-0.217
2,$u_{SCF}$,0.0495,{SCF}$tau-0.295
3,$u_{SCF}$,0.0201,{SCF}$tau-0.3316050800917002
4,$u_{SCF}$,0.0126,{SCF}$tau-0.3544668614198186
5,$u_{SCF}$,0.0041,{SCF}$tau-0.41305037376834797
6,$u_{power} + u_{SCF}$,0.2997,{SCF}$tau-0.178
7,$u_{power} + u_{SCF}$,0.2564,{SCF}$tau-0.217
8,$u_{power} + u_{SCF}$,0.0337,{SCF}$tau-0.295
9,$u_{power} + u_{SCF}$,0.0108,{SCF}$tau-0.3316050800917002
10,$u_{power} + u_{SCF}$,0.0058,{SCF}$tau-0.3544668614198186
11,$u_{power} + u_{SCF}$,0.0032,{SCF}$tau-0.41305037376834797
