,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$Average$,2269,0,64,0,2333,0.9869892254523277,1.0,0.8062775056049156
1,$Average$,2266,0,65,0,2331,0.9867886178861789,0.9991181657848325,0.8064114276222906
2,$Average$,211,6,17,59,293,0.9831794871794872,0.09122351923908344,0.9703411276444984
3,$Average$,60,6,8,70,144,0.9823380992430614,0.024671052631578948,0.9848229342327149
4,$Average$,45,6,6,73,130,0.9817282889079966,0.01774447949526814,0.9859671848013818
5,$Average$,36,8,2,87,133,0.977504638218924,0.012517385257301807,0.984468060259255
6,$u_{SCF}$,3207,0,56,0,3263,0.9858657243816255,0.9941103533787973,0.7053724604966141
7,$u_{SCF}$,2651,4,51,5,2711,0.9848561332660273,0.8217606943583385,0.7421778411792678
8,$u_{SCF}$,556,17,18,38,629,0.9815749621403331,0.17234965902045876,0.9251813964553348
9,$u_{SCF}$,228,24,14,42,308,0.9798081776880363,0.07067575945443273,0.9618434093161545
10,$u_{SCF}$,145,29,11,45,230,0.9785461887935386,0.04494730316181029,0.9711923847695391
11,$u_{SCF}$,43,82,10,46,181,0.9651691065118627,0.013329200247985121,0.9768808276919148
