,models,auc,far
0,$u_{SCF}$,0.2958,{SCF}$tau-0.217
1,$u_{SCF}$,0.2951,{SCF}$tau-0.295
2,$u_{SCF}$,0.2944,{SCF}$tau-0.3316050800917002
3,$u_{SCF}$,0.2937,{SCF}$tau-0.3544668614198186
4,$u_{SCF}$,0.2907,{SCF}$tau-0.41305037376834797
5,$u_{power} + u_{SCF}$,0.2943,{SCF}$tau-0.217
6,$u_{power} + u_{SCF}$,0.2945,{SCF}$tau-0.295
7,$u_{power} + u_{SCF}$,0.2943,{SCF}$tau-0.3316050800917002
8,$u_{power} + u_{SCF}$,0.2942,{SCF}$tau-0.3544668614198186
9,$u_{power} + u_{SCF}$,0.2932,{SCF}$tau-0.41305037376834797
