,models,auc,far
0,$u_{SCF}$,2359.56,{SCF}$tau-0.217
1,$u_{SCF}$,720.32,{SCF}$tau-0.295
2,$u_{SCF}$,297.84,{SCF}$tau-0.3316050800917002
3,$u_{SCF}$,176.9,{SCF}$tau-0.3544668614198186
4,$u_{SCF}$,104.4,{SCF}$tau-0.41305037376834797
5,$u_{power} + u_{SCF}$,2132.64,{SCF}$tau-0.217
6,$u_{power} + u_{SCF}$,545.26,{SCF}$tau-0.295
7,$u_{power} + u_{SCF}$,178.98,{SCF}$tau-0.3316050800917002
8,$u_{power} + u_{SCF}$,103.24,{SCF}$tau-0.3544668614198186
9,$u_{power} + u_{SCF}$,68.16,{SCF}$tau-0.41305037376834797
