,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,9667,9330,9056,8811,8561,8311,8079,7834,7594,7363,7127,6900,6673,6445,6227
1,$u_{SCF}$,3020,2825,2739,2668,2587,2516,2452,2383,2332,2268,2193,2115,2043,1971,1904
2,$u_{SCF}$,1346,1200,1141,1106,1079,1037,1006,969,947,920,892,865,823,796,765
3,$u_{SCF}$,881,745,695,663,643,614,592,567,554,532,512,494,469,451,433
4,$u_{SCF}$,638,506,444,405,380,353,332,314,304,288,276,264,250,238,228
5,$u_{power} + u_{SCF}$,9732,9374,9024,8659,8293,7930,7547,7158,6762,6361,5968,5567,5162,4752,4343
6,$u_{power} + u_{SCF}$,2965,2731,2527,2327,2157,1989,1835,1701,1581,1468,1379,1293,1186,1105,1019
7,$u_{power} + u_{SCF}$,1298,1090,935,823,728,644,567,499,443,399,361,338,307,272,245
8,$u_{power} + u_{SCF}$,883,692,561,469,395,341,298,259,224,208,189,177,166,154,146
9,$u_{power} + u_{SCF}$,653,470,362,283,240,213,187,159,145,130,126,121,111,107,101
