,models,auc,far
0,$u_{SCF}$,0.2044,{SCF}$tau-0.217
1,$u_{SCF}$,0.2624,{SCF}$tau-0.295
2,$u_{SCF}$,0.2832,{SCF}$tau-0.3316050800917002
3,$u_{SCF}$,0.2898,{SCF}$tau-0.3544668614198186
4,$u_{SCF}$,0.2939,{SCF}$tau-0.41305037376834797
5,$u_{power} + u_{SCF}$,0.2185,{SCF}$tau-0.217
6,$u_{power} + u_{SCF}$,0.2736,{SCF}$tau-0.295
7,$u_{power} + u_{SCF}$,0.2907,{SCF}$tau-0.3316050800917002
8,$u_{power} + u_{SCF}$,0.2945,{SCF}$tau-0.3544668614198186
9,$u_{power} + u_{SCF}$,0.2962,{SCF}$tau-0.41305037376834797
