,models,auc,far
0,$u_{SCF}$,2322.74,{SCF}$tau-0.217
1,$u_{SCF}$,677.96,{SCF}$tau-0.295
2,$u_{SCF}$,249.02,{SCF}$tau-0.3316050800917002
3,$u_{SCF}$,122.4,{SCF}$tau-0.3544668614198186
4,$u_{SCF}$,24.04,{SCF}$tau-0.41305037376834797
5,$u_{power} + u_{SCF}$,2078.14,{SCF}$tau-0.217
6,$u_{power} + u_{SCF}$,493.0,{SCF}$tau-0.295
7,$u_{power} + u_{SCF}$,125.4,{SCF}$tau-0.3316050800917002
8,$u_{power} + u_{SCF}$,49.22,{SCF}$tau-0.3544668614198186
9,$u_{power} + u_{SCF}$,6.68,{SCF}$tau-0.41305037376834797
