,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,9395,9147,8899,8668,8427,8188,7967,7727,7492,7268,7036,6811,6592,6367,6153
1,$u_{SCF}$,2711,2613,2556,2502,2431,2374,2323,2261,2216,2160,2089,2013,1950,1881,1818
2,$u_{SCF}$,992,947,927,916,900,874,857,829,814,796,772,749,717,694,667
3,$u_{SCF}$,495,462,453,449,441,430,424,409,403,391,378,365,351,341,328
4,$u_{SCF}$,99,91,90,89,88,85,85,79,78,76,74,70,68,67,63
5,$u_{power} + u_{SCF}$,9466,9131,8790,8437,8087,7730,7356,6973,6582,6194,5814,5427,5031,4642,4247
6,$u_{power} + u_{SCF}$,2659,2463,2275,2094,1942,1792,1655,1537,1432,1329,1249,1175,1090,1017,941
7,$u_{power} + u_{SCF}$,942,787,661,569,490,426,374,331,298,278,255,245,228,203,183
8,$u_{power} + u_{SCF}$,476,359,273,212,171,147,128,109,98,92,87,84,79,75,71
9,$u_{power} + u_{SCF}$,85,38,24,21,19,18,17,17,16,15,14,14,12,12,12
