,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,6,4,4,4,3,3,2,2,2,2,2,2,2,1,1
1,$u_{SCF}$,162,125,106,96,88,82,75,71,67,62,60,59,55,52,49
2,$u_{SCF}$,207,154,132,120,111,102,93,88,83,78,74,72,66,63,60
3,$u_{SCF}$,229,167,142,129,120,111,101,96,91,86,82,80,73,70,66
4,$u_{SCF}$,256,177,151,137,128,117,107,102,97,90,86,84,77,74,70
5,$u_{power} + u_{SCF}$,6,3,3,2,2,2,1,1,1,1,1,1,1,1,1
6,$u_{power} + u_{SCF}$,160,147,143,132,123,113,103,93,85,81,76,69,55,51,44
7,$u_{power} + u_{SCF}$,205,185,177,167,157,146,133,119,102,86,78,68,57,51,47
8,$u_{power} + u_{SCF}$,225,205,191,179,163,141,121,105,88,81,71,67,63,57,54
9,$u_{power} + u_{SCF}$,262,229,202,162,145,128,114,96,88,79,77,75,70,69,63
