,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,263,177,151,137,129,118,108,103,98,91,87,85,77,75,71
1,$u_{SCF}$,107,56,49,45,44,39,35,34,33,31,29,28,24,24,23
2,$u_{SCF}$,62,27,23,21,21,19,17,17,17,15,15,15,13,13,12
3,$u_{SCF}$,40,14,13,12,12,10,9,9,9,7,7,7,6,6,6
4,$u_{SCF}$,13,4,4,4,4,4,3,3,3,3,3,3,2,2,2
5,$u_{power} + u_{SCF}$,258,238,229,218,202,196,188,182,177,165,152,138,129,109,95
6,$u_{power} + u_{SCF}$,103,81,72,68,63,58,54,51,46,43,41,37,31,29,27
7,$u_{power} + u_{SCF}$,59,37,31,27,25,23,17,13,9,8,7,7,6,6,5
8,$u_{power} + u_{SCF}$,43,21,15,11,6,5,5,5,4,4,4,4,4,4,4
9,$u_{power} + u_{SCF}$,12,5,3,3,3,3,3,3,2,2,2,2,2,2,2
