,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,$u_{SCF}$,40,31,28,25,24,21,19,17,16,15,15,15,14,14,14
2,$u_{SCF}$,85,72,59,49,47,42,39,35,33,31,31,29,27,26,26
3,$u_{SCF}$,117,102,87,73,70,63,58,53,51,48,45,42,39,34,33
4,$u_{SCF}$,270,234,199,175,160,147,137,130,126,119,113,107,103,95,93
5,$u_{power} + u_{SCF}$,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0
6,$u_{power} + u_{SCF}$,43,40,37,33,29,26,23,20,18,15,13,12,10,8,7
7,$u_{power} + u_{SCF}$,92,81,66,60,56,49,43,36,34,27,21,18,16,12,10
8,$u_{power} + u_{SCF}$,139,107,82,67,55,48,44,40,34,31,27,22,20,18,17
9,$u_{power} + u_{SCF}$,294,198,133,97,73,64,53,43,39,34,33,30,27,24,24
