,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,7727,2,103,2,7834,0.9874221229575644,0.9484472812078065,0.6819842494113826
1,$u_{SCF}$,2261,17,34,71,2383,0.9856588691665688,0.27752546949797474,0.8755808489531666
2,$u_{SCF}$,829,35,17,88,969,0.9835429646173739,0.10175524733030564,0.9452635146585325
3,$u_{SCF}$,409,53,9,96,567,0.9814270600681791,0.05020252853811219,0.9671589921807123
4,$u_{SCF}$,79,130,3,102,314,0.9723756906077348,0.00969682091567448,0.9813738284494009
5,$u_{power} + u_{SCF}$,6973,2,182,1,7158,0.9806869193026412,0.9855830388692579,0.7241193247514066
6,$u_{power} + u_{SCF}$,1537,20,51,93,1701,0.9827295703454086,0.2147247834590668,0.9164743432359441
7,$u_{power} + u_{SCF}$,331,36,13,119,499,0.9820933702835216,0.045517051705170515,0.9736355471020235
8,$u_{power} + u_{SCF}$,109,40,5,105,259,0.9837960462352814,0.014735703663647425,0.9859795377036755
9,$u_{power} + u_{SCF}$,17,43,3,96,159,0.9837342497136311,0.0021453811206461385,0.9908278050187482
